Lat;Lon;Time Range;Apparent Fishing hours
72,1;16,9;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;3,008889
72,1;17;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;3,574444
72,1;17,1;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;4,4275
72,1;17,7;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;4,9375
70,7;20,7;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;58,091111
68,9;16,4;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;16,2
68,9;16,6;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;45,939444
68,1;14;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;54,783611
68;13,3;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;48,486944
67,8;13,3;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;52,1
68,1;13,5;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;127,233056
68,1;14,3;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;203,32
70,9;25,9;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;55,69
71;29,2;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;174,493333
71;29,3;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;124,164167
70,9;29,4;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;127,474167
70,8;29,6;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;28,049444
70,8;30;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;44,429722
70,8;30,3;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;16,604722
70,7;30,7;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;26,038611
70,6;30,8;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;61,2525
70,2;30,8;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;45,4175
